time,Heart Rate (BPM)
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:25,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:26,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:27,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
2024-01-24 19:30:28,0
